#QTD		#SSI				#SBI				#STI
10			0.00010642			0.00011633			0.00015206			
11			0.00010997			0.00011647			0.000122			
12			0.00012318			0.00011618			0.00014899			
13			0.0001261			0.0001155			0.00012216			
14			0.00012883			0.00011656			0.00014934			
15			0.00013668			0.00011627			0.00017577			
16			0.00014088			0.0001406			0.00014899			
17			0.00014809			0.00013743			0.00017732			
18			0.00015359			0.00013461			0.00014886			
19			0.00015931			0.00013531			0.00017623			
20			0.00016539			0.00013592			0.00015144			
21			0.00017497			0.0001359			0.00017594			
22			0.00017739			0.00013547			0.00014883			
23			0.00018403			0.0001333			0.0001754			
24			0.0002064			0.00013447			0.00015007			
25			0.00021119			0.00013922			0.00017688			
26			0.00021623			0.00013434			0.00014974			
27			0.00022236			0.00013344			0.00017601			
28			0.00023072			0.00013279			0.00015016			
29			0.00023901			0.00013348			0.00017578			
30			0.00024491			0.00013417			0.00014998			
31			0.00025076			0.00013347			0.00017766			
32			0.00025557			0.0001524			0.00015047			
33			0.00025797			0.00015664			0.00017492			
34			0.00026666			0.00015582			0.00014894			
35			0.00027643			0.00015106			0.00017621			
36			0.00028317			0.00015203			0.00014875			
37			0.00028558			0.00015112			0.00017569			
38			0.00029343			0.00015431			0.00014695			
39			0.00029955			0.0001526			0.0001763			
40			0.00030384			0.00015118			0.00014992			
